gold	corrupted	error_pred	bad_word
за день до этого демонстранты блокировали в банкгоке здание парламента и ряда министерств .	за день до этого демонстранты блокировали в банкгоке здание парламента и ряда минфдстерстдв .	за день до этого демонстранты блокировали в банкгоке здание парламента и ряда минфдстерстдв .	министерств / минфдстерстдв
какое демографическое будущее ждет европу ?	какое демографическое будущее жидет европу ?	какое демографическое будущее будет европу ?	ждет / будет
в третьей фразе про фильм тауэлхед - ...	в тртехтьей фразе про фильм `` тауэлхед '' - ...	в тртехтьей фразе про фильм тауэлхед - ...	третьей / тртехтьей
глава концерна алан муллали заявил , что будет работать за символический NUM доллар в год , если государство поможет ford .	глава концерна аланщ муллали заявил , что будет работать за символический NUM доллар в год , если государство поможет ford .	глава концерна аланщ муллали заявил , что будет работать за символический NUM доллар в год , если государство поможет ford .	алан / аланщ
он перестал видеть панель управления и подал сигнал о помощи , - рассказывал позже военный авиадиспетчер энди хинд .	он перестал видеть панель управления и модеал сигнал о помощи '' , - рассказывал позже военный авиадиспетчер энди хинд .	он перестал видеть панель управления и модеал сигнал о помощи , - рассказывал позже военный авиадиспетчер энди хинд .	подал / модеал
жительница расположенного неподалеку села дзриа рассказала корреспонденту , что чуть менее половины ( NUM из NUM ) грузин , проживавших в переви , покинули свои дома .	жительница расположенного неподалеку села дзриа рассказала корреспонденту , что чуть менее половины ( NUM из NUM ) гриуин , проживавших в переви , покинули свои дома .	жительница расположенного неподалеку села дзриа рассказала корреспонденту , что чуть менее половины ( NUM из NUM ) гриуин , проживавших в переви , покинули свои дома .	грузин / гриуин
в NUM году премия досталась украинцу андрею шевченко .	в NUM году премия досталась украинцу анддрев шевченко .	в NUM году премия досталась украинцу андрея шевченко .	андрею / андрея
несколько десятков арабов забросали камнями блокпост цахала на площади кикар а-шотэр в хевроне .	несколько десятков арабов змабрйосалпи камнями блокпост цахала на площади кикар а-шотэр в хевроне .	несколько десятков арабов змабрйосалпи камнями блокпост цахала на площади кикар а-шотэр в хевроне .	забросали / змабрйосалпи
он стал наследником престола в NUM-летнем возрасте , а в NUM году в замке карнарвон в уэльсе королева возложила на голову сына венец принца уэльского .	он стал наследником престола в NUM-летнем возрасте , а в NUM годку в замке карнарвон в уэльсе королева возложила на голову сына венец принца уэльского .	он стал наследником престола в NUM-летнем возрасте , а в NUM годку в замке карнарвон в уэльсе королева возложила на голову сына венец принца уэльского .	году / годку
отчет касается только членов оэср ( россия в него не входит ) .	отчет касается только членов оэср ( россия э него не входит ) .	отчет касается только членов оэср ( россия у него не входит ) .	в / у
