gold	corrupted	error_pred	bad_word
citi opina que la compra de dos chocolateras que ha realizado en bélgica e italia hacen de la empresa una gran generadora de caja en un negocio muy prometedor .	citi opina que la compra de dos chocolateras que ha realizado en bélgica e italia hacen de la empresa xuna gran generadora de caja en un negocio muy prometedor .	citi opina que la compra de dos chocolateras que ha realizado en bélgica e italia hacen de la empresa xuna gran generadora de caja en un negocio muy prometedor .	una / xuna
espaldas y fresas .	esppaldys y fresas .	espalda y fresas .	espaldas / espalda
los mini-spices aparecen en un montaje durante la canción mama en todos los conciertos .	los mini-spices aparecen en un montaje durante la canción `` mamh '' en todos los conciertos .	los mini-spices aparecen en un montaje durante la canción mamh en todos los conciertos .	mama / mamh
e incluso hizo lo propio con eduardo zaplana , que con rubalcaba -edi y fredi , les llamaba- le han dado la legislatura .	e incluso hizo lo propio con eduardo zaplana , que con rubalcaba -edi yd fredi , les llamaba- le han dado la legislatura .	e incluso hizo lo propio con eduardo zaplana , que con rubalcaba jedi yd fredi , les llamaba- le han dado la legislatura .	y / yd
era un negocio que conocían bien y que podía ser una buena piedra de toque en sus incipientes procesos de internacionalización .	era un negocio que conocían bien y que podía ser una buena piedra de toque en sus incipientes proceáeos de internacionalización .	era un negocio que conocían bien y que podía ser una buena piedra de toque en sus incipientes proceden de internacionalización .	procesos / proceden
en segundo lugar , aunque en su farragosa introducción el nie dice querer centrarse en capacidades y no en intenciones , siempre más complejas de valorar , la realidad es que se centra mucho más en éstas que en las primeras .	en segundo lugar , aunque en su farragosa introducción enl nie dice querer centrarse en capacidades y no en intenciones , siempre más complejas de valorar , la realidad es que se centra mucho más en éstas que en las primeras .	en segundo lugar , aunque en su farragosa introducción en nie dice querer centrarse en capacidades y no en intenciones , siempre más complejas de valorar , la realidad es que se centra mucho más en éstas que en las primeras .	el / en
todo este tiempo ha servido para que las que ahora son mujeres y madres pero igual de indescriptibles ( ¡esos modelazos de cavalli ! ) vayan rodeadas de un séquito familiar y tengan el backstage lleno de maridos , novios y niños .	todo este tiempo ha servido para que las que ahora son mujeres y madres pero igual de indescriptibles ( ¡esos modelazos de cavalli ! ) vayan rodeadas de un séquito familiar y tengan el backstage lleno de maridos , novios ty niños .	todo este tiempo ha servido para que las que ahora son mujeres y madres pero igual de indescriptibles ( ¡esos rodeados de cavalli ! ) vayan rodeadas de un séquito familiar y tengan el backstage lleno de maridos , novios ty niños .	y / ty
pese a que su diseño exterior presenta un aspecto sobrio y su interior tampoco es especialmente llamativo este coreano destaca por su excelente espacio interior , su capacidad de carga , sus ajustados consumos y el completo equipamiento ... elementos que poco a poco van calando en aquellos que buscan un familiar compacto .	pese a que su diseño exterior presenta un aspecto sobrio y su interporr tampoco es especialmente llamativo este coreano destaca por su excelente espacio interior , su capacidad de carga , sus ajustados consumos y el completo equipamiento ... elementos que poco a poco van calando en aquellos que buscan un familiar compacto .	pese a que su diseño exterior presenta un aspecto sobrio y su anterior tampoco es especialmente llamativo este coreano destaca por su excelente espacio interior , su capacidad de carga , sus ajustados consumos y el completo equipamiento ... elementos que poco a poco van calando en aquellos que buscan un familiar compacto .	interior / anterior
en cuanto al seguimiento , el representante de ic aseguró que ha sido satisfactorio , sobre todo entre los NUM conductores y reguladores de la plantilla , aunque ya anunció que van a recurrir los servicios mínimos , que se han fijado en un NUM por ciento , y en absoluto estamos de acuerdo .	en cuanto al seguimiento , el representante de ic aseguró que ha sido satisfactorio , `` sobre todo entre los NUM conductores y reguladores de la plantilla '' , aunque ya anunció que van a recurdryr los servicios mínimos , que se han fijado en un NUM por ciento , `` y en absoluto estamos de acuerdo '' .	en cuanto al seguimiento , el representante de ic aseguró que ha sido satisfactorio , sobre todo entre los NUM conductores y reguladores de la plantilla , aunque ya anunció que van a recordar los servicios mínimos , que se han fijado en un NUM por ciento , y en absoluto estamos de acuerdo .	recurrir / recordar
y este final de año ha venido marcado por dos hitos significativos en el campo de los universos paralelos .	y este final de año ha venido umáarcado por dos hitos significativos en el campo de los universos paralelos .	y este final de año ha venido marcada por dos hitos significativos en el campo de los universos paralelos .	marcado / marcada
toma el relevo de giovanni sala , que se ha retirado .	toma el relevo de giovanni sala , que se hai retirado .	toma el relevo de giovanni sala , que se han retirado .	ha / han
