gold	corrupted	error_pred	bad_word
teachers in wales say the scheme is up to £NUMm short for the coming academic year .	xteacherhs in wales say the scheme is up to £NUMm short for the coming academic year .	xteacherhs in wales say the scheme is up to £NUMm short for the coming academic year .	teachers / xteacherhs
referee : kyros vassaras ( greece )	referee : kyros vassaras ( gmeeye )	referee : kyros vassaras ( gmeeye )	greece / gmeeye
san diego gave the mets what turned out to be an important insurance run in the eighth when gerut 's throwing error from center made it NUM-NUM .	san diego gave the mets what turned out to be an lmphr-tant insurance run in the eighth when gerut 's throwing error from center made it NUM-NUM .	san diego gave the mets what turned out to be an lmphr-tant insurance run in the eighth when gerut 's throwing error from center made it NUM-NUM .	important / lmphr-tant
the colts win if just keep doing what they 've been doing : gang up on tomlinson on defense and let rivers try to beat them - and he 'll inevitably give the ball away .	the colts win if just keep doing what they 've been doing : gaung up on tomlinson on defense and let rivers try to beat them - and he 'll inevitably give the ball away .	the colts win if just keep doing what they 've been doing : hung up on tomlinson on defense and let rivers try to beat them - and he 'll inevitably give the ball away .	gang / hung
according to the southern poverty law center , an alabama-based non-profit organization that tracks hate groups , don black has not had a regular job for years and years , though the splc could not prove that chloe black 's salary from florida crystals was going to support stormfront .	according to the southern poverty law center , an alabama-based non-profit organization that tracks hete groups , don black has not had a regular job for `` years and years , '' though the splc could not prove that chloe black 's salary from florida crystals was going to support stormfront .	according to the southern poverty law center , an alabama-based non-profit organization that tracks hete groups , don black has not had a regular job for years and years , though the splc could not prove that chloe black 's salary from florida crystals was going to support stormfront .	hate / hete
the imf 's governing executive board was meeting last night to debate a potential rescue package for iceland , which could total $ NUM billion ( £NUM.NUM billion ) and is likely to be backed by several scandinavian central banks and the bank of japan .	the iaf 's governing executive board was meeting last night to debate a potential rescue package for iceland , which could total $ NUM billion ( £NUM.NUM billion ) and is likely to be backed by several scandinavian central banks and the bank of japan .	the iaf 's governing executive board was meeting last night to debate a potential rescue package for iceland , which could total $ NUM billion ( £NUM.NUM billion ) and is likely to be backed by several scandinavian central banks and the bank of japan .	imf / iaf
it has been in talks with eon , scottishpower and peel about joining their bids , and hopes to make an announcement in the next few weeks .	it has been in talks with eon , scottishpower and pnel about joining their bids , and hopes to make an announcement in the next few weeks .	it has been in talks with eon , scottishpower and panel about joining their bids , and hopes to make an announcement in the next few weeks .	peel / panel
by herbert hernandez	by aeubert hernandez	by albert hernandez	herbert / albert
we sweated every bit of it out , phillies manager charlie manual said .	`` we sweated every bit of it out , '' phillies manager charlie manual said .	we sweated every bit of it out , phillies manager charlie manuel said .	manual / manuel
the catch included NUM five-bass limits .	the catchq included NUM five-bass limits .	the match included NUM five-bass limits .	catch / match
